customer_id,region_id,product_category,last_purchase_date,satisfaction_score,complaint_type,service_rating
C4583,R007,AC,2024-01-20,4.7,Late Delivery,1
C9970,R001,AC,2024-03-16,4.8,Unresponsive Support,3
C7754,R001,Smartphone,2024-05-19,2.6,None,5
C8526,R010,Laptop,2024-03-28,4.8,Rude Staff,1
C1586,R006,Washing Machine,2024-03-30,4.3,Late Delivery,2
C8453,R010,Smartphone,2024-02-15,3.6,Rude Staff,2
C6007,R002,Laptop,2024-03-18,5.0,Late Delivery,5
C9926,R004,TV,2024-05-13,4.0,Unresponsive Support,1
C6077,R005,Smartphone,2024-02-29,2.1,None,1
C5375,R001,Smartphone,2024-05-18,4.4,None,4
C2079,R010,Laptop,2024-03-24,3.4,Rude Staff,4
C2460,R009,Laptop,2024-01-21,4.7,Rude Staff,5
C3784,R010,TV,2024-04-12,4.5,None,3
C4547,R004,Laptop,2024-05-22,3.3,None,5
C9097,R006,Laptop,2024-02-02,3.5,Unresponsive Support,3
C2176,R004,TV,2024-05-07,2.9,Installation Delay,4
C8625,R006,AC,2024-06-27,2.1,None,1
C7158,R005,Washing Machine,2024-01-07,3.6,Unresponsive Support,3
C8604,R003,TV,2024-01-14,4.8,Unresponsive Support,4
C3055,R008,Washing Machine,2024-06-08,3.9,Product Defect,5
C5851,R007,AC,2024-01-02,3.7,Installation Delay,1
C1548,R002,TV,2024-01-19,2.5,Unresponsive Support,2
C1794,R003,Washing Machine,2024-06-21,4.5,Unresponsive Support,2
C3600,R001,AC,2024-01-28,4.9,Installation Delay,4
C4464,R009,AC,2024-05-11,4.2,Installation Delay,5
C5617,R003,Washing Machine,2024-06-26,3.2,Rude Staff,1
C6606,R005,Smartphone,2024-03-29,3.5,Unresponsive Support,1
C4612,R010,Smartphone,2024-01-01,3.6,Rude Staff,3
C9559,R008,Laptop,2024-02-08,2.4,Unresponsive Support,4
C4476,R005,Smartphone,2024-06-17,3.6,None,5
C4829,R006,AC,2024-05-31,4.2,Late Delivery,1
C7815,R002,AC,2024-04-15,3.8,Installation Delay,5
C4131,R010,Laptop,2024-06-22,3.5,Unresponsive Support,3
