date,region_id,product_category,brand,units_sold,price,marketing_spend
2024-01-01,R001,Laptop,Whirlpool,120,75000,28249
2024-01-01,R001,Smartphone,HP,127,30000,8814
2024-01-01,R001,AC,Samsung,28,45000,28589
2024-01-01,R001,TV,Whirlpool,81,60000,35565
2024-01-01,R001,Washing Machine,Sony,65,60000,25562
2024-01-01,R002,Laptop,Whirlpool,65,30000,32736
2024-01-01,R002,Smartphone,Samsung,33,60000,26320
2024-01-01,R002,AC,Whirlpool,139,60000,38896
2024-01-01,R002,TV,Samsung,27,75000,23376
2024-01-01,R002,Washing Machine,Sony,105,20000,15967
2024-01-01,R003,Laptop,Samsung,118,45000,39324
2024-01-01,R003,Smartphone,Samsung,130,60000,17793
2024-01-01,R003,AC,Whirlpool,77,30000,32414
2024-01-01,R003,TV,LG,135,30000,38974
2024-01-01,R003,Washing Machine,Whirlpool,104,60000,18385
2024-01-01,R004,Laptop,Samsung,128,30000,13639
2024-01-01,R004,Smartphone,Samsung,143,30000,13559
2024-01-01,R004,AC,Samsung,118,45000,33706
2024-01-01,R004,TV,Sony,105,60000,13631
2024-01-01,R004,Washing Machine,Whirlpool,134,20000,39203
2024-01-01,R005,Laptop,Whirlpool,116,60000,9974
2024-01-01,R005,Smartphone,Sony,86,60000,14523
2024-01-01,R005,AC,Whirlpool,85,30000,38591
2024-01-01,R005,TV,HP,32,45000,26678
2024-01-01,R005,Washing Machine,HP,148,60000,25075
2024-01-01,R006,Laptop,HP,69,45000,17829
2024-01-01,R006,Smartphone,Samsung,107,45000,16701
2024-01-01,R006,AC,HP,49,60000,14466
2024-01-01,R006,TV,Whirlpool,107,45000,33997
2024-01-01,R006,Washing Machine,LG,105,20000,29876
2024-01-01,R007,Laptop,LG,128,45000,20771
2024-01-01,R007,Smartphone,Samsung,94,45000,9913
2024-01-01,R007,AC,LG,72,45000,13116
2024-01-01,R007,TV,Whirlpool,130,45000,6339
2024-01-01,R007,Washing Machine,Whirlpool,132,20000,18936
2024-01-01,R008,Laptop,Whirlpool,125,45000,8960
2024-01-01,R008,Smartphone,Samsung,89,45000,11083
